"","Outcome","Arm","Group","Coefficient","Estimate","Std..Error","Pr...z..","EstOverSE"
"94","%CD19pBcells","B","FA - BA","FA1:Time56",-0.00291821446345743,0.0990449110656488,0.976494891018164,-0.029463547718501
"95","%CD19pBcells","B","FA - BA","FA2:Time56",0.165698502428852,0.105181400713283,0.115173523141016,1.57535934400165
"96","%CD19pBcells","B","FA - BA","Time56:GenderM",0.00960695852167308,0.0715129969673172,0.893134802426397,0.134338636738489
"97","%CD3pTcells","B","MVA85A","(Intercept)",3.60676689788968,0.0536295938153072,0,67.2532950801544
"98","%CD3pTcells","B","MVA85A","TreatmentMVA85A",0.00754090760180522,0.0610735859839312,0.901732959100053,0.123472487824594
"99","%CD3pTcells","B","MVA85A","Time56",0.0181677705926011,0.0570858128176547,0.750292509208171,0.318253690293123
"100","%CD3pTcells","B","MVA85A","GenderM",0.126560445914263,0.060872401184661,0.0376071990826187,2.07911045812589
"101","%CD3pTcells","B","MVA85A","TreatmentMVA85A:Time56",0.0371841218909652,0.0651123440323877,0.567947867143355,0.571076382574545
"102","%CD3pTcells","B","MVA85A","Time56:GenderM",-0.0556131219862441,0.0650206137567941,0.392376651758657,-0.855315241936378
"103","%CD3pTcells","B","QFT","(Intercept)",3.64687688044981,0.0517344526213481,0,70.4922289821414
"104","%CD3pTcells","B","QFT","QFTPositive",-0.0794615088073765,0.060682331460095,0.190376218603141,-1.30946697161151
"105","%CD3pTcells","B","QFT","Time56",0.0146626234309474,0.056471356803158,0.795136009544167,0.259647089444953
"106","%CD3pTcells","B","QFT","GenderM",0.123833791168079,0.0602907441022332,0.0399811456705439,2.05394365274541
"107","%CD3pTcells","B","QFT","QFTPositive:Time56",0.0467540646812826,0.0651450151738058,0.472947137076055,0.717692129728476
"108","%CD3pTcells","B","QFT","Time56:GenderM",-0.0555708615389352,0.0649420052060919,0.392163845153271,-0.855699810355138
"109","%CD3pTcells","B","FA - FA","(Intercept)",3.64062420174237,0.0554662615625814,0,65.6367330189493
"110","%CD3pTcells","B","FA - FA","FA1",-0.0610056480897145,0.0900250670566193,0.497992498736824,-0.677651792820618
"111","%CD3pTcells","B","FA - FA","FA2",-0.133292158933358,0.0876305935973124,0.128242581381692,-1.52106876675825
"112","%CD3pTcells","B","FA - FA","FA3",0.0425385697207792,0.0758302123057997,0.574817129871751,0.560971259703644
"113","%CD3pTcells","B","FA - FA","Time56",0.0603941504811588,0.0611207616585494,0.323097859996472,0.988111876264732
"114","%CD3pTcells","B","FA - FA","GenderM",0.105875240035916,0.0623256850889088,0.0893678633117839,1.69874169669989
"115","%CD3pTcells","B","FA - FA","FA1:Time56",-0.0495658731522263,0.0977357826957036,0.612055525896598,-0.507141517519204
"116","%CD3pTcells","B","FA - FA","FA2:Time56",0.046488088960951,0.0975705578903677,0.633749464966985,0.476456115103759
"117","%CD3pTcells","B","FA - FA","FA3:Time56",-0.138432442462923,0.0816864239862009,0.0901359245398187,-1.69468114415571
"118","%CD3pTcells","B","FA - FA","Time56:GenderM",-0.0192467043066078,0.0680430478356285,0.777283619737857,-0.282860702435053
