"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"bulk CD8+/% R7-RA-","MVA85A","(Intercept)",2.064768423968884,0.20259295059413235,10.191709128642728,2.1593406318106197e-24,1.6676935372826822,2.4618433106550857,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","TreatmentMVA85A",-0.15451694900594087,0.24193423842479037,-0.6386733436820902,0.5230354572026035,-0.6286993429456563,0.3196654449337746,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","Time56",-0.8020393089259121,0.1956658256205173,-4.09902601224509,4.1489240963143246e-5,-1.1855372801474204,-0.41854133770440377,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","Time365",0.6229667583582226,0.2043934929947085,3.047879603360712,0.0023046224196417928,0.2223628734142542,1.023570643302191,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","GenderM",-0.5236425343940782,0.242131244794511,-2.1626392530979497,0.030568936695294827,-0.998211053723171,-0.049074015064985266,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","TreatmentMVA85A:Time56",-0.03155142604665106,0.22923955727423098,-0.13763517266309858,0.8905287562934856,-0.48085270213605064,0.4177498500427485,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","TreatmentMVA85A:Time365",0.02936254810152333,0.24317027832151633,0.12074891842949895,0.9038899111315039,-0.44724243951922965,0.5059675357222763,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","Time56:GenderM",0.12729972106921442,0.22930821751143002,0.5551467908596388,0.5787942602387153,-0.3221361266122652,0.5767355687506941,"A",FALSE
"bulk CD8+/% R7-RA-","MVA85A","Time365:GenderM",0.1629290538091894,0.24247239998822254,0.6719488643536471,0.5016162508217268,-0.3123081174127169,0.6381662250310957,"A",FALSE
"bulk CD8+/% R7-RA-","QFT","(Intercept)",2.101484179554249,0.20217043369826607,10.394616765232138,2.6233939851946014e-25,1.7052374107668047,2.4977309483416934,"A",FALSE
"bulk CD8+/% R7-RA-","QFT","QFTPositive",-0.24246826729392812,0.24441403189405733,-0.9920390634488097,0.32117847013118855,-0.7215109671225044,0.23657443253464822,"A",FALSE
"bulk CD8+/% R7-RA-","QFT","Time56",-0.9121650892280443,0.19451882768446635,-4.689340872996053,2.740864795738666e-6,-1.2934149858045512,-0.5309151926515375,"A",FALSE
"bulk CD8+/% R7-RA-","QFT","Time365",0.5905857073083685,0.2027561886202265,2.9127875766819034,0.0035821819093639104,0.19319087997011464,0.9879805346466223,"A",FALSE
"bulk CD8+/% R7-RA-","QFT","GenderM",-0.543353219016311,0.2417330214579991,-2.2477409819275276,0.024592711138481913,-1.017141234948037,-0.06956520308458475,"A",FALSE
