"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Bulk CD4+/% R7+RA-","MVA85A","(Intercept)",2.423256877845691,0.06439093843504683,37.63350770683528,0,2.2970529575822636,2.5494607981091186,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","TreatmentMVA85A",-0.008603240115587588,0.07839342896492452,-0.10974440369787787,0.9126120840159486,-0.1622515375114387,0.14504505728026354,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","Time56",0.006384338407956587,0.0603933016595904,0.10571269052224039,0.915810311193426,-0.11198435775230364,0.12475303456821682,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","Time365",0.26918507560791183,0.06344743839742327,4.24264686498114,2.2089888692409838e-5,0.14483038143763852,0.39353976977818517,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","GenderM",0.10140171021238381,0.07831568157718666,1.2947816857399619,0.19539555154498828,-0.052094205103609015,0.25489762552837664,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","TreatmentMVA85A:Time56",0.0015841588634353738,0.07326061342207396,0.021623609050454046,0.9827482006343528,-0.14200400492914123,0.145172322656012,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","TreatmentMVA85A:Time365",-0.04646491554922477,0.07685610904995557,-0.6045702303121163,0.5454645919435184,-0.19710012127902057,0.10417029018057103,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","Time56:GenderM",-0.0781097929235449,0.07319353853444202,-1.0671678742077688,0.28589603660630714,-0.22156649235209586,0.06534690650500603,"A",FALSE
"Bulk CD4+/% R7+RA-","MVA85A","Time365:GenderM",0.09256892404605303,0.07677340361704817,1.205742088859238,0.22791695099886092,-0.05790418201391846,0.24304203010602454,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","(Intercept)",2.4574399605987445,0.06523772953742024,37.668998875706755,0,2.329576360272236,2.585303560925253,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","QFTPositive",-0.08483984446324223,0.07855154978915174,-1.080053094954454,0.2801185373006766,-0.23879805297978451,0.06911836405330003,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","Time56",-0.00478141641950651,0.061567880131511286,-0.07766089086213829,0.9380978046786798,-0.12545224408174777,0.11588941124273475,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","Time365",0.24859987288351915,0.06529933738976403,3.807081094860977,1.4061664570086616e-4,0.12061552338525194,0.37658422238178635,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","GenderM",0.0953851330316125,0.07759650626969428,1.229245202098302,0.21897988587289613,-0.05670122458312474,0.24747149064634974,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","QFTPositive:Time56",0.025375317148694496,0.07421480660614821,0.3419171767617638,0.7324132226722593,-0.12008303091896123,0.17083366521635024,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","QFTPositive:Time365",-1.727641706873971e-4,0.07726555423336555,-0.0022359791811703907,0.9982159482196594,-0.15161046771361014,0.15126493937223534,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","Time56:GenderM",-0.0768373757666975,0.0731502979906537,-1.0504041388391185,0.29353234357188046,-0.2202093252867514,0.06653457375335642,"A",FALSE
"Bulk CD4+/% R7+RA-","QFT","Time365:GenderM",0.0902968648063146,0.0767930778282258,1.175846409077322,0.23965625726268927,-0.060214801998989265,0.24080853161161847,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","(Intercept)",2.3331082126792904,0.09585797892231396,24.339217652086194,7.540797432561605e-131,2.1452300263607555,2.520986398997825,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA1",0.07486075828162936,0.09957812606492218,0.7517791430702584,0.4521838867534093,-0.1203087824536073,0.27003029901686604,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA2",0.02458570703653844,0.13668182837152293,0.17987546208198638,0.8572503394011269,-0.24330575391273135,0.29247716798580825,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA3",0.1491870840909062,0.11103622877756475,1.3435892567079868,0.17908124545935686,-0.06843992529227058,0.366814093474083,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","Time56",0.008335536017706067,0.08735810180966415,0.09541800754631247,0.9239828133825092,-0.16288319728701894,0.17955426932243107,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","Time365",0.4376590713822187,0.0921646906625576,4.748663161954495,2.047656539977728e-6,0.25701959703733085,0.6182985457271066,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","GenderM",0.13586942889732856,0.08310298446782827,1.6349524601000078,0.10205901387232218,-0.027009427667406327,0.29874828546206345,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA1:Time56",-0.059293826558482345,0.09141153916389143,-0.6486470647012589,0.5165665271361526,-0.23845715109108215,0.11986949797411747,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA2:Time56",0.02928297132856602,0.12420969295785862,0.23575431700407656,0.8136233187279283,-0.2141635533996152,0.27272949605674723,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA3:Time56",0.023226630452738834,0.10108938966879913,0.22976328701594337,0.8182757142432046,-0.17490493251724282,0.2213581934227205,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA1:Time365",-0.21545247662279507,0.09521630551255678,-2.262768708184986,0.023649950821892984,-0.40207300616836894,-0.028831947077221226,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA2:Time365",-0.22826005299268984,0.13020763392100254,-1.7530466234504811,0.07959400447749494,-0.4834623259900306,0.026942220004650935,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","FA3:Time365",-0.22429303139123172,0.10841734726018151,-2.0687928367493633,0.03856553091461928,-0.43678712732055974,-0.011798935461903692,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","Time56:GenderM",-0.062124387923889086,0.07625337238427737,-0.8147100381451257,0.4152383060799299,-0.21157825149679385,0.08732947564901569,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - FA","Time365:GenderM",0.01691648967444396,0.08406293283040658,0.20123601574278002,0.8405140309882493,-0.14784383110796262,0.18167681045685052,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","(Intercept)",2.482294132788146,0.07627821106756041,32.542636986983766,2.6613832442543005e-232,2.332791586290583,2.6317966792857086,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA0",-0.1491850132818085,0.11103659341941877,-1.3435661945993933,0.17908870727706427,-0.3668127373498864,0.0684427107862694,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA1",-0.07432607688776977,0.10166820926674663,-0.7310650735743817,0.46473940639281686,-0.2735921054232745,0.12493995164773497,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA2",-0.12460806506566223,0.130904879010542,-0.9518977902697371,0.3411488203322933,-0.3811769133268978,0.1319607831955733,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","Time56",0.03156131035676985,0.06965648945503558,0.45309935375286464,0.650477200686381,-0.10496290026459393,0.16808552097813362,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","Time365",0.21336693875079712,0.07183682798251162,2.9701609152723227,0.0029764379399402166,0.07256934314147523,0.354164534360119,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","GenderM",0.13587140124924807,0.08310324682775885,1.6349710322492856,0.10205512032052456,-0.027007969531501752,0.2987507720299979,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA0:Time56",-0.023228099593090582,0.10108868696156581,-0.22977941737359758,0.8182631793742734,-0.22135828528220328,0.17490208609602212,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA1:Time56",-0.08252172789958051,0.09383665993518116,-0.8794188535331865,0.379174213331529,-0.2664382018020682,0.10139474600290715,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA2:Time56",0.0060580180185493765,0.11904062156630922,0.050890342631274635,0.9594129010034987,-0.22725731294867868,0.23937334898577745,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA0:Time365",0.2242894473444971,0.10841661065965927,2.0687738343765893,0.03856731488290486,0.011796795125663673,0.43678209956333053,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA1:Time365",0.008839538281109505,0.10422162374592704,0.084814820220597,0.9324086111640213,-0.19543109067119194,0.21311016723341095,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","FA2:Time365",-0.00396817793225259,0.12685092380077007,-0.0312822154806294,0.9750444734574016,-0.2525914199873966,0.24465506412289142,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","Time56:GenderM",-0.06212277409237732,0.07625283733593573,-0.8146945905591985,0.41524715054154837,-0.21157558898980247,0.08733004080504783,"A",FALSE
"Bulk CD4+/% R7+RA-","FA - BA","Time365:GenderM",0.01691666879211187,0.08406234441198834,0.20123955512355826,0.8405112635775577,-0.1478424987113871,0.18167583629561085,"A",FALSE
